id,author_id,created_at,text,retweets,likes,query,collected_at,clean_text,sentiment
1973460813785804865,1857448560683319296,2025-10-01 18:51:37+00:00,"@SenBlumenthal No, nazi, that was you. You shut down the government because we don’t want to pay for you to murder and commit terrorism.",0,0,terrorism OR extremist,2025-10-01T18:51:51.873533,nazi shut government not want pay murder commit terrorism,Positive
1973460810413621472,281770411,2025-10-01 18:51:36+00:00,"@DiabloB42924 @Mollyploofkins I mean has anyone in Portland been arrested for breaking into a federal building, pardoned for it, and then rearrested for plotting to kill the federal agents who investigated them and planning attacks on additional locations?

Sounds a little closer to terrorism https://t.co/20fJk30md6",0,0,terrorism OR extremist,2025-10-01T18:51:51.873533,mean portland arrest break federal building pardon rearreste plot kill federal agent investigate planning attack additional location sound little close terrorism,Negative
1973460809889259989,1423952235462070276,2025-10-01 18:51:36+00:00,"RT @Shehusky: Islamic terrorism in Nigeria has the backing of the government, Muslim traditional rulers, Muslim Clerics and security forces.",1120,0,terrorism OR extremist,2025-10-01T18:51:51.873533,rt islamic terrorism nigeria backing government muslim traditional ruler muslim cleric security force,Negative
1973460798874984649,1606648481002754052,2025-10-01 18:51:34+00:00,"RT @stillgray: Tommy Robinson goes before a state judge in just two weeks, accused under terrorism laws for refusing to unlock his phone at…",12,0,terrorism OR extremist,2025-10-01T18:51:51.873533,rt tommy robinson go state judge week accuse terrorism law refuse unlock phone,Negative
1973460794659549627,1341846414578618369,2025-10-01 18:51:33+00:00,"Israeli terrorism 
🔳 The world must act immediately. The safety of all volunteers on board is at risk. @MENAUncensored 
@BBCWorld @SkyNews @CNN @AJEnglish @Reuters @AP @guardian @nytimes @washingtonpost @france24_en @cnni @TRTWorld @Channel4News @MSNBC @TIME @Independent https://t.co/JPYnCXc2RA",0,0,terrorism OR extremist,2025-10-01T18:51:51.873533,israeli terrorism world act immediately safety volunteer board risk,Negative
1973460786224963950,86410896,2025-10-01 18:51:31+00:00,"RT @TheCradleMedia: Statement by Hamas:
——
""The statements of the terrorist war minister Katz, in which he declared that anyone remaining i…",76,0,terrorism OR extremist,2025-10-01T18:51:51.873533,rt statement hamas statement terrorist war minister katz declare remain,Negative
1973460785608401338,1363651327,2025-10-01 18:51:31+00:00,"#Panorama seeing criticism of officers off duty saying Islam is a problem and that muslims hate us, then catorgorised as racism, firstly its not racist as you cannot be racist to a religion, secondly I think Islam is definitely a problem as evidenced by terrorism offences",0,0,terrorism OR extremist,2025-10-01T18:51:51.873533,see criticism officer duty say islam problem muslims hate catorgorise racism firstly racist racist religion secondly think islam definitely problem evidence terrorism offence,Negative
1973460783712633022,1269068965688426496,2025-10-01 18:51:30+00:00,"RT @naretevduorp: Let's call it what it is. It's terrorism!

An unwell, unethical, mentally unstable President of the United States just to…",528,0,terrorism OR extremist,2025-10-01T18:51:51.873533,rt let terrorism unwell unethical mentally unstable president united states,Negative
1973460782760468648,41379478,2025-10-01 18:51:30+00:00,"RT @TRobinsonNewEra: In 2 weeks, the state is putting me on trial, again, this time using ""terrorism"" legislation.

And again, I will not b…",2862,0,terrorism OR extremist,2025-10-01T18:51:51.873533,rt week state put trial time terrorism legislation b,Negative
1973460780407464326,190251322,2025-10-01 18:51:29+00:00,"RT @MrAndyNgo: The @ADL said it was evidence of hate and white supremacy to be critical of Antifa. Antifa are good, they say.

Then after O…",1181,0,terrorism OR extremist,2025-10-01T18:51:51.874534,rt say evidence hate white supremacy critical antifa antifa good o,Negative
